Number,Indicate your gender,Please indicate your age,Who are you,1. Who is most commonly victimized by domestic violence?,2.What are common forms of domestic violence?,3.What are potential consequences of domestic violence for victims?,4.What factors contribute to the occurrence of domestic violence?,5. How can domestic violence be prevented?,6.Which organization provides assistance to domestic violence victims?,7.Which form of domestic violence is most prevalent?,8. What barriers may prevent domestic violence victims from seeking help?,9.What support options are available for witnesses of domestic violence?,10. What legal measures are in place to prevent domestic violence?,11. Which professionals can assist domestic violence victims?,12. What safety measures can help domestic violence victims?
-0.84091888600916,2,1,2,0,1,0,2,1,2,5,2,3,3,0,2
-0.7708423121750634,0,1,2,5,2,2,2,3,0,5,0,2,2,0,0
-0.735804025258015,0,1,2,0,2,2,2,3,0,5,2,2,2,0,0
-0.7007657383409667,0,2,4,0,2,2,2,3,2,0,2,3,3,3,2
-0.6657274514239183,2,2,4,5,2,2,2,3,5,4,2,3,3,0,2
-0.63068916450687,0,2,4,5,2,2,0,3,2,0,2,3,3,0,2
-0.5606125906727734,2,0,2,0,1,0,1,1,1,4,0,3,2,2,1
-0.525574303755725,0,2,4,0,2,2,2,3,2,0,0,3,2,0,1
-0.4905360168386767,2,2,4,9,2,2,1,3,1,4,1,1,0,2,1
-0.45549772992162835,0,2,4,2,2,2,2,3,0,4,2,1,2,0,2
-0.3854211560875317,0,2,2,2,2,2,2,3,0,4,4,1,3,0,2
-0.35038286917048334,2,1,2,0,2,2,2,3,2,1,2,2,3,4,2
-0.315344582253435,2,1,2,4,2,2,2,3,0,2,2,1,3,1,2
-0.2803062953363867,0,2,3,10,2,0,1,1,1,4,1,3,2,3,1
-0.24526800841933835,0,2,4,7,2,1,1,1,1,4,1,2,2,2,1
-0.21022972150229,2,0,1,9,0,1,1,3,1,0,1,1,0,2,0
-0.17519143458524167,2,0,1,5,2,0,1,3,2,4,1,2,2,2,1
-0.14015314766819334,2,1,2,7,1,1,1,1,1,0,0,2,3,6,1
-0.105114860751145,2,1,4,8,2,2,2,3,1,5,2,3,3,3,2
-0.07007657383409667,2,0,1,2,0,1,0,3,3,0,0,3,4,2,4
-0.035038286917048335,2,1,4,9,2,2,2,3,2,5,1,3,2,3,2
0.0,0,2,3,5,0,0,2,3,1,4,2,2,3,2,2
0.035038286917048335,0,1,3,5,2,2,2,3,2,4,2,0,4,3,2
0.07007657383409667,0,2,3,9,2,2,2,4,6,5,0,2,2,0,1
0.105114860751145,2,1,2,9,2,2,1,1,1,4,1,2,2,0,1
0.14015314766819334,2,1,4,7,1,1,1,1,1,4,2,2,2,2,1
0.17519143458524167,0,2,2,5,1,0,1,0,0,0,1,1,0,0,0
0.21022972150229,0,2,3,5,2,2,1,3,2,5,2,3,3,3,2
0.24526800841933835,0,0,3,0,1,1,0,1,0,4,0,1,3,0,2
0.2803062953363867,2,0,1,8,0,1,0,0,1,0,0,2,3,0,0
0.315344582253435,2,2,4,6,2,2,1,0,1,5,2,3,3,3,2
0.35038286917048334,1,1,2,2,2,2,2,3,2,4,2,3,3,0,2
0.3854211560875317,2,0,3,2,2,2,2,3,2,0,2,3,3,0,2
0.42045944300458,0,1,4,0,2,2,2,3,2,5,2,3,3,0,2
0.45549772992162835,0,2,4,7,2,1,1,1,1,4,1,3,0,0,0
0.4905360168386767,2,2,2,11,1,2,2,3,2,5,2,3,3,3,1
0.525574303755725,2,1,4,5,2,2,2,3,2,0,1,2,2,0,2
0.5606125906727734,0,1,1,5,1,0,0,0,2,4,2,1,3,0,0
0.5956508775898217,0,1,2,2,2,2,2,3,2,4,2,3,3,0,2
0.63068916450687,2,2,4,0,2,2,2,3,2,4,2,3,3,3,2
0.6657274514239183,0,2,3,5,2,2,2,3,2,0,2,3,3,2,2
0.7007657383409667,2,1,4,0,0,2,1,3,2,5,2,3,3,2,2
0.735804025258015,0,1,4,5,2,2,2,3,2,4,2,3,3,0,2
0.7708423121750634,0,1,4,5,2,2,2,0,0,0,0,1,0,0,0
0.8058805990921117,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0
0.84091888600916,0,2,4,2,2,2,2,3,2,4,2,3,3,2,2
0.8759571729262083,2,1,4,0,2,2,2,3,2,4,2,3,3,0,2
0.9109954598432567,2,1,3,2,2,2,2,3,2,5,2,3,3,2,2
0.946033746760305,2,1,2,0,2,2,2,3,2,5,2,3,3,0,2
0.9810720336773534,0,2,4,2,2,2,2,3,2,5,2,3,3,3,2
1.0161103205944018,2,1,4,2,2,2,2,2,2,5,3,3,3,5,3
1.05114860751145,2,2,4,3,2,2,2,3,2,2,2,3,3,0,2
1.0861868944284983,2,1,4,2,2,2,2,3,2,2,2,3,3,0,2
1.1212251813455467,0,3,0,2,2,2,2,3,2,4,2,3,3,1,2
1.156263468262595,2,4,4,5,0,2,2,3,2,0,2,3,3,3,2
1.1913017551796434,0,0,1,0,2,2,2,3,2,0,2,3,3,0,2
1.2263400420966917,0,1,4,5,2,2,2,3,2,4,2,3,3,0,2
1.26137832901374,2,1,2,9,1,0,0,0,1,5,0,2,2,0,1
1.2964166159307884,2,1,3,0,2,2,2,3,2,5,2,3,3,3,2
1.3314549028478366,2,0,3,2,2,2,2,3,2,4,2,3,3,3,2
1.366493189764885,2,1,2,5,2,2,2,3,2,5,2,3,3,2,2
1.4015314766819333,2,1,4,5,2,2,2,3,2,5,2,3,3,3,2
1.4365697635989818,2,1,4,5,2,2,2,3,2,0,2,3,3,2,2
1.47160805051603,0,2,4,2,2,2,2,3,2,5,2,3,3,2,2
1.5066463374330783,2,1,3,8,1,0,1,1,1,5,0,3,3,3,2
1.5416846243501268,0,1,2,5,2,2,2,3,2,5,2,3,3,2,2
1.576722911267175,2,2,2,2,2,2,2,3,2,5,2,3,3,3,2
1.6117611981842235,0,1,3,2,2,2,2,3,2,5,2,3,3,2,2
1.6467994851012717,0,2,4,2,2,2,2,3,2,4,2,3,3,0,2
